author, title,et, in, qui, non, hic, is, sed, ad, ille, quod, ut, de, ego, cum, suus, ab, si, ipse, quis, quia, sibi, meus, enim, nec, quam, nos, per, ex, autem, noster, que, vel, ergo, quidem, tamen, iste, pro, iam, alius, ne, etiam, aut, sic, sicut, quo, nisi, vero, super, ita, ubi, nam, quoniam, inter, denique, magis, nunc, unde, quidam, sine, propter, quasi, tam, atque, quomodo, quoque, tamquam, ac, tantus, idem, neque, utique, adhuc, dum, quantus, secundum, uterque, aliquis, tunc, solum, sane, quando, igitur, ante, talis, post, bene, nullus, sub, omnino, usque, semper, quippe, sive, alter, minus, etsi, siquidem, inde, itaque, ideo, iuxta, quisquis, videlicet, apud, profecto, scilicet, nemo, prius, parve, plane, porro, contra, ibi, immo, nonne, at, nimirum, nihilominus, propterea, primum, verum, nempe, una, multum, longe, seipse, quicumque, item, an, donec, vere, certe, quisque, absque, interim, unquam, numquam, quantum, pote, prorsus, semetipse, pariter, amen, proinde, satis, huiusmodi, numquis, hinc, aliquando, prae, 
sc, sc_57, 66, 74, 27, 20, 39, 15, 12, 7, 15, 8, 7, 6, 19, 6, 6, 7, 9, 9, 7, 6, 16, 16, 3, 2, 5, 2, 4, 6, 4, 3, 5, 0, 8, 1, 0, 4, 2, 3, 2, 6, 7, 0, 0, 5, 4, 0, 1, 2, 1, 6, 1, 1, 9, 2, 5, 0, 3, 6, 1, 2, 2, 1, 3, 1, 0, 2, 4, 0, 1, 1, 0, 1, 4, 0, 0, 0, 0, 0, 1, 4, 0, 1, 3, 0, 2, 0, 1, 0, 1, 0, 2, 0, 0, 0, 0, 0, 1, 4, 1, 2, 1, 0, 3, 1, 0, 0, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 5, 0, 0, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 3, 0, 1, 
sc, sc_58, 64, 43, 23, 31, 20, 21, 14, 9, 9, 14, 15, 10, 18, 9, 7, 5, 12, 5, 8, 6, 9, 16, 9, 5, 5, 2, 1, 14, 1, 2, 2, 2, 6, 1, 5, 2, 0, 3, 3, 0, 3, 5, 2, 4, 0, 1, 0, 1, 5, 2, 3, 1, 7, 6, 3, 8, 4, 3, 0, 1, 2, 0, 0, 2, 1, 2, 1, 0, 1, 3, 2, 3, 0, 0, 0, 1, 2, 2, 2, 4, 0, 0, 6, 0, 1, 2, 2, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 2, 2, 5, 1, 0, 1, 0, 3, 0, 0, 0, 2, 0, 0, 1, 0, 1, 1, 1, 0, 2, 1, 0, 1, 0, 0, 2, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 2, 1, 0, 1, 1, 1, 1, 0, 0, 
sc, sc_59, 83, 42, 25, 19, 22, 15, 12, 19, 8, 13, 7, 8, 6, 18, 9, 5, 4, 7, 5, 3, 19, 3, 9, 2, 10, 2, 4, 3, 4, 12, 12, 3, 5, 3, 3, 2, 1, 1, 3, 2, 3, 2, 2, 2, 1, 3, 4, 4, 1, 5, 3, 1, 0, 2, 3, 2, 3, 2, 1, 2, 2, 0, 5, 4, 2, 4, 1, 3, 1, 2, 1, 0, 0, 2, 0, 3, 1, 1, 1, 3, 0, 1, 1, 1, 1, 4, 0, 0, 1, 1, 2, 0, 2, 0, 1, 0, 1, 0, 1, 2, 0, 0, 1, 2, 1, 1, 0, 1, 2, 2, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 3, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 1, 1, 0, 0, 0, 1, 
sc, sc_60, 83, 38, 31, 32, 17, 10, 17, 12, 17, 15, 12, 13, 10, 10, 13, 6, 9, 7, 9, 7, 7, 5, 6, 7, 4, 2, 2, 5, 9, 3, 4, 2, 4, 5, 8, 2, 1, 4, 7, 9, 1, 3, 1, 3, 4, 3, 2, 4, 3, 0, 1, 3, 2, 0, 5, 2, 2, 2, 2, 2, 1, 1, 5, 3, 2, 3, 1, 1, 1, 3, 0, 0, 0, 0, 1, 0, 2, 0, 0, 5, 1, 1, 2, 2, 1, 1, 1, 3, 1, 1, 3, 0, 1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 2, 0, 0, 2, 1, 0, 0, 0, 0, 0, 1, 1, 5, 1, 0, 0, 0, 0, 0, 0, 1, 5, 2, 1, 0, 0, 1, 1, 2, 0, 1, 1, 0, 0, 0, 2, 0, 1, 1, 2, 0, 0, 0, 0, 1, 
sc, sc_61, 67, 39, 24, 21, 17, 14, 11, 11, 16, 13, 10, 8, 13, 9, 5, 3, 11, 10, 6, 5, 14, 11, 3, 6, 6, 6, 1, 6, 2, 9, 5, 5, 5, 4, 2, 0, 4, 1, 3, 1, 3, 2, 10, 11, 2, 1, 2, 1, 2, 0, 0, 2, 20, 7, 3, 1, 2, 2, 1, 0, 0, 0, 1, 2, 1, 1, 2, 2, 1, 1, 2, 0, 4, 3, 1, 4, 1, 3, 1, 1, 0, 2, 2, 2, 3, 5, 0, 0, 0, 0, 3, 0, 2, 0, 1, 1, 0, 1, 1, 2, 2, 1, 1, 0, 5, 0, 0, 0, 4, 2, 0, 0, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
sc, sc_62, 68, 46, 37, 35, 12, 34, 15, 15, 8, 14, 11, 11, 10, 8, 2, 5, 4, 9, 4, 9, 7, 9, 9, 5, 3, 6, 8, 7, 5, 5, 8, 0, 6, 3, 5, 4, 3, 3, 0, 1, 1, 2, 4, 9, 3, 3, 4, 4, 6, 3, 3, 4, 14, 5, 2, 2, 1, 0, 2, 0, 1, 0, 2, 1, 3, 3, 1, 2, 2, 0, 1, 1, 0, 0, 5, 0, 3, 2, 1, 1, 1, 1, 4, 1, 0, 1, 0, 7, 0, 1, 0, 0, 0, 0, 3, 4, 0, 0, 1, 3, 2, 0, 0, 0, 1, 1, 0, 1, 2, 2, 0, 0, 1, 1, 0, 3, 0, 1, 2, 0, 2, 1, 1, 2, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 2, 0, 0, 1, 0, 0, 1, 2, 1, 1, 0, 0, 0, 0, 1, 2, 
sc, sc_63, 61, 46, 26, 33, 14, 21, 13, 23, 10, 20, 7, 10, 25, 10, 2, 7, 14, 10, 7, 5, 8, 8, 5, 1, 7, 5, 3, 10, 12, 3, 9, 2, 5, 4, 4, 1, 7, 2, 13, 3, 7, 0, 2, 1, 3, 1, 3, 1, 3, 2, 3, 1, 0, 1, 6, 0, 1, 4, 1, 0, 2, 1, 3, 1, 1, 2, 2, 3, 0, 0, 0, 2, 2, 1, 2, 0, 1, 0, 0, 3, 0, 1, 4, 0, 0, 2, 1, 0, 2, 0, 2, 2, 1, 4, 4, 1, 2, 1, 1, 0, 0, 1, 2, 3, 2, 0, 3, 3, 1, 3, 0, 1, 1, 0, 3, 0, 1, 2, 0, 0, 2, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 1, 3, 2, 0, 1, 0, 0, 0, 0, 1, 3, 1, 3, 0, 1, 0, 0, 0, 0, 
sc, sc_64, 68, 31, 30, 31, 19, 11, 21, 13, 21, 18, 13, 14, 11, 3, 6, 9, 9, 19, 4, 8, 6, 1, 3, 7, 11, 2, 4, 6, 4, 9, 2, 4, 5, 8, 3, 4, 3, 4, 3, 1, 3, 3, 1, 2, 4, 3, 5, 1, 3, 1, 6, 3, 3, 3, 4, 0, 2, 3, 3, 4, 0, 0, 6, 2, 6, 4, 0, 1, 0, 2, 3, 1, 0, 1, 2, 3, 1, 0, 1, 1, 1, 2, 1, 1, 0, 3, 2, 1, 1, 1, 1, 3, 0, 0, 1, 3, 1, 2, 1, 0, 2, 0, 2, 0, 2, 1, 0, 1, 2, 1, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 3, 0, 0, 0, 2, 2, 0, 0, 2, 0, 2, 2, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 
sc, sc_65, 52, 47, 23, 28, 17, 27, 11, 8, 5, 12, 13, 14, 20, 12, 13, 7, 10, 6, 7, 7, 12, 8, 10, 6, 6, 2, 3, 7, 4, 2, 3, 4, 3, 2, 2, 3, 2, 3, 3, 2, 8, 1, 1, 1, 3, 0, 4, 2, 2, 4, 1, 4, 3, 3, 3, 1, 2, 2, 4, 2, 1, 2, 5, 2, 4, 2, 3, 0, 1, 4, 0, 2, 2, 2, 1, 2, 1, 3, 0, 3, 1, 0, 0, 2, 2, 0, 1, 7, 1, 1, 0, 2, 1, 1, 0, 1, 0, 1, 2, 1, 1, 0, 3, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 3, 4, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 2, 3, 0, 0, 2, 0, 2, 1, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 
sc, sc_66, 56, 48, 24, 27, 19, 16, 14, 9, 16, 10, 16, 9, 8, 10, 8, 18, 6, 14, 12, 3, 11, 3, 7, 9, 2, 4, 6, 4, 3, 6, 15, 4, 3, 2, 6, 6, 3, 7, 2, 10, 4, 2, 4, 3, 4, 6, 2, 1, 1, 3, 4, 3, 7, 2, 5, 1, 1, 2, 1, 2, 2, 4, 2, 1, 1, 1, 1, 1, 0, 3, 2, 2, 0, 1, 2, 5, 1, 2, 0, 1, 1, 0, 1, 1, 0, 1, 2, 0, 8, 0, 0, 2, 1, 1, 0, 2, 1, 0, 2, 1, 1, 0, 2, 3, 1, 2, 0, 0, 3, 1, 0, 0, 1, 0, 1, 3, 2, 0, 2, 0, 1, 0, 0, 1, 3, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 2, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 3, 
